0,1,2,3,4,5,6,7,8
26.0,1.0,1.0,6968.426,55845.095,9907.255,1.0,1.0,1.0
27.0,1.0,1.0,8936.477,61979.439,4889.062,1.0,1.0,1.0
28.0,1.0,1.0,6727.891,59703.853,5714.891,1.0,1.0,1.0
29.0,1.0,1.0,6036.891,54744.075,4325.234,1.0,1.0,1.0
30.0,1.0,1.0,4834.355,52821.317,6174.355,1.0,1.0,1.0
31.0,1.0,1.0,5001.477,50245.024,7391.355,1.0,1.0,1.0
32.0,1.0,1.0,10186.355,56551.853,9304.062,1.0,1.0,1.0
33.0,1.0,1.0,9822.477,52960.51,13105.77,1.0,1.0,1.0
34.0,1.0,1.0,11388.134,51235.631,6488.234,1.0,1.0,1.0
35.0,1.0,1.0,10438.477,46470.388,8709.77,1.0,1.0,1.0
36.0,1.0,1.0,9075.891,41827.61,4356.113,1.0,1.0,1.0
37.0,1.0,1.0,12723.962,46992.167,3466.77,1.0,1.0,1.0
26.0,1.0,1.0,7180.355,36492.66,11388.841,2.0,1.0,2.0
27.0,1.0,1.0,6549.234,38752.924,2873.184,2.0,1.0,2.0
28.0,1.0,1.0,10686.527,45696.731,7382.012,2.0,1.0,2.0
29.0,1.0,1.0,2329.113,27150.782,1250.113,2.0,1.0,2.0
30.0,1.0,1.0,11315.234,39668.56,7591.012,2.0,1.0,2.0
32.0,1.0,1.0,8003.527,46425.903,8272.234,2.0,1.0,2.0
33.0,1.0,1.0,9146.941,49660.267,5068.355,2.0,1.0,2.0
34.0,1.0,1.0,11679.698,49471.317,9110.891,2.0,1.0,2.0
35.0,1.0,1.0,2628.698,36156.681,2703.062,2.0,1.0,2.0
36.0,1.0,1.0,9532.82,49007.267,5972.426,2.0,1.0,2.0
37.0,1.0,1.0,6570.527,44488.874,1747.77,2.0,1.0,2.0
31.0,1.0,1.0,6609.941,48367.61,1444.355,2.0,1.0,2.0
26.0,3.0,2.0,12181.012,49556.075,0.0,1.0,1.0,4.0
27.0,3.0,2.0,12080.255,65067.874,0.0,1.0,1.0,4.0
28.0,3.0,2.0,13724.012,62119.803,0.0,1.0,1.0,4.0
29.0,3.0,2.0,15751.77,64610.974,0.0,1.0,1.0,4.0
30.0,3.0,2.0,13647.77,58504.075,0.0,1.0,1.0,4.0
31.0,3.0,2.0,14353.012,59058.439,0.0,1.0,1.0,4.0
32.0,3.0,2.0,12005.184,52583.489,0.0,1.0,1.0,4.0
33.0,3.0,2.0,14686.184,56975.267,0.0,1.0,1.0,4.0
34.0,3.0,2.0,11320.719,54447.267,0.0,1.0,1.0,4.0
35.0,3.0,2.0,5385.355,43931.146,0.0,1.0,1.0,4.0
36.0,3.0,2.0,5634.941,45054.024,0.0,1.0,1.0,4.0
37.0,3.0,2.0,1913.042,41373.338,0.0,1.0,1.0,4.0
26.0,1.0,3.0,12975.548,43791.61,0.0,1.0,1.0,7.0
27.0,1.0,3.0,12221.184,50869.853,0.0,1.0,1.0,7.0
28.0,1.0,3.0,11119.648,41687.782,0.0,1.0,1.0,7.0
29.0,1.0,3.0,10985.305,52758.731,0.0,1.0,1.0,7.0
30.0,1.0,3.0,11068.77,41640.731,0.0,1.0,1.0,7.0
31.0,1.0,3.0,10994.477,39053.317,0.0,1.0,1.0,7.0
32.0,1.0,3.0,12633.719,45085.388,0.0,1.0,1.0,7.0
33.0,1.0,3.0,8545.234,56912.095,0.0,1.0,1.0,7.0
34.0,1.0,3.0,7697.305,47168.167,0.0,1.0,1.0,7.0
35.0,1.0,3.0,8718.305,44827.681,0.0,1.0,1.0,7.0
36.0,1.0,3.0,6850.477,37436.51,0.0,1.0,1.0,7.0
26.0,1.0,3.0,9539.255,45457.681,0.0,2.0,1.0,8.0
27.0,1.0,3.0,11655.477,52752.196,0.0,2.0,1.0,8.0
